,city,country,lat,lon,temp,temp_max,temp_min,humidity,cloudness,wind
73,Meulaboh,ID,4.1363,96.1285,81.52,81.52,81.52,65,74,2.48
74,Viedma,AR,-40.8135,-62.9967,66.99,66.99,66.99,66,100,23.38
75,North Side,AI,18.2167,-63.05,75.31,77.0,73.99,83,40,10.36
76,Nybyen,SJ,78.0667,14.2333,17.6,17.6,17.6,86,75,8.05
77,Hermanus,ZA,-34.4187,19.2345,71.01,71.01,71.01,85,82,3.0
78,Panguna,PG,-6.8333,155.7333,90.59,90.59,90.59,53,92,10.58
79,Cravo Norte,CO,6.3017,-70.2042,76.62,76.62,76.62,77,76,5.21
80,Bluff,NZ,-46.6,168.3333,61.88,61.88,61.88,78,13,5.59
81,Tsiombe,MG,-25.3,45.4833,75.16,75.16,75.16,94,20,5.37
82,Boksitogorsk,RU,59.4741,33.8485,-5.8,-5.8,-5.8,89,100,7.56
83,Corner Brook,CA,48.95,-57.9333,28.24,28.4,28.0,86,90,3.44
84,Kalmunai,LK,7.4167,81.8167,77.16,77.16,77.16,88,99,0.92
85,Bālurghāt,IN,25.2167,88.7667,61.12,61.12,61.12,43,0,4.09
86,East London,ZA,-33.0111,27.91,72.88,72.88,72.88,92,100,13.24
87,Qaanaaq,GL,77.4894,-69.3322,-3.35,-3.35,-3.35,78,0,4.07
88,Beringovskiy,RU,63.05,179.3167,-10.79,-10.79,-10.79,89,100,9.33
89,Cherskiy,RU,68.75,161.3,-23.08,-23.08,-23.08,86,100,4.32
90,Tuatapere,NZ,-46.1333,167.6833,64.74,64.74,64.74,72,42,8.3
91,Lebu,CL,-37.6167,-73.65,54.19,54.19,54.19,87,0,15.84
92,Zhigansk,RU,66.7697,123.3711,-40.11,-40.11,-40.11,80,83,11.74
93,Vaini,TO,-21.2,-175.2,86.0,86.0,86.0,79,40,8.05
94,Hithadhoo,MV,-0.6,73.0833,82.15,82.15,82.15,75,54,21.07
95,Casas Grandes,MX,30.3667,-107.95,43.02,43.02,43.02,41,0,4.05
96,Inhambane,MZ,-23.865,35.3833,77.18,77.18,77.18,88,0,5.32
97,Harindānga,IN,22.0383,88.3214,59.0,59.0,59.0,82,0,3.44
98,Ponta do Sol,CV,17.2,-25.1,69.8,69.8,69.8,64,40,27.63
99,Şamşud,RO,47.35,22.95,29.57,30.2,28.4,86,75,10.36
100,Atar,MR,20.5167,-13.05,60.8,60.8,60.8,29,100,14.25
101,Saint Paul Harbor,US,57.79,-152.4072,32.0,32.0,32.0,86,75,4.61
102,Ilulissat,GL,69.2167,-51.1,24.8,24.8,24.8,86,90,13.8
103,Torbay,CA,47.65,-52.7333,28.96,30.0,28.0,86,90,5.75
104,Chalmette,US,29.9425,-89.9633,46.72,48.2,45.0,66,1,3.44
105,Manggar,ID,-2.8833,108.2667,80.26,80.26,80.26,83,100,10.89
106,Richards Bay,ZA,-28.7754,32.054,72.72,72.72,72.72,89,85,3.31
107,Neuquén,AR,-38.9516,-68.0591,75.2,75.2,75.2,60,40,6.91
108,Brewster,US,41.76,-70.0833,35.53,37.99,33.01,70,90,3.44
109,Olinda,BR,-8.0167,-34.85,78.8,78.8,78.8,65,40,5.75
110,Krabi,TH,8.0726,98.9105,75.2,75.2,75.2,83,20,8.05
111,Bredasdorp,ZA,-34.5322,20.0403,68.0,68.0,68.0,88,100,12.66
112,Atuona,PF,-9.8,-139.0333,77.81,77.81,77.81,76,40,12.97
113,Hilo,US,19.7297,-155.09,75.99,80.6,72.0,61,20,3.44
114,Ongole,IN,15.5,80.05,75.25,75.25,75.25,80,21,7.29
115,New Norfolk,AU,-42.7808,147.0594,68.13,73.99,63.0,48,58,5.01
116,St John's,AG,17.6333,-61.8333,73.22,73.4,73.0,88,75,5.75
117,Nizhniy Odes,RU,63.6445,54.856,-17.37,-17.37,-17.37,88,12,3.56
118,Drumheller,CA,51.4667,-112.7,32.25,33.8,30.2,47,54,12.66
119,Boambee,AU,-30.3646,153.1014,83.55,84.99,82.4,65,0,19.57
120,São Filipe,CV,14.9,-24.5167,72.54,72.54,72.54,71,98,12.26
121,Esperance,AU,-33.8601,121.8826,68.0,68.0,68.0,42,99,14.97
122,Acosta,DO,19.2167,-69.3167,74.37,74.37,74.37,83,34,8.95
123,Kiama,AU,-34.6683,150.8522,90.0,90.0,90.0,63,5,3.0
124,Saldanha,ZA,-33.0117,17.9442,64.4,64.4,64.4,82,0,4.61
125,Olafsvik,IS,64.8833,-23.7167,38.73,38.73,38.73,86,33,19.26
126,Kashechewan,CA,52.9167,-82.4333,19.4,19.4,19.4,93,90,6.91
127,Kandahar,AF,31.6133,65.7101,38.95,38.95,38.95,62,55,1.92
128,Kuril'sk,RU,45.2667,148.5,30.9,30.9,30.9,96,100,19.19
129,West Road,TC,21.4667,-71.1333,78.01,78.01,78.01,79,1,18.39
130,Peleduy,RU,59.6289,112.7406,-9.02,-9.02,-9.02,87,100,14.85
131,Soyo,AO,-6.1349,12.3689,77.54,77.54,77.54,80,30,7.34
132,Hasaki,JP,35.7333,140.8333,51.01,52.0,50.0,50,20,6.91
133,Camaçari,BR,-12.4833,-38.2167,80.6,80.6,80.6,74,40,11.5
134,Carutapera,BR,-1.2167,-46.0167,77.4,77.4,77.4,84,63,6.53
135,Muros,ES,42.7762,-9.0603,43.63,45.0,42.01,88,52,1.99
136,Kucha,CN,41.7278,82.9364,21.22,21.22,21.22,74,3,2.57
137,Mount Gambier,AU,-37.8318,140.7792,66.2,66.2,66.2,63,75,20.71
138,Thompson,CA,55.75,-97.8667,26.6,26.6,26.6,100,90,3.44
139,Shizunai-furukawachō,JP,42.3339,142.3669,31.06,31.06,31.06,87,37,32.91
140,Akdepe,TM,42.05,59.4,23.05,24.8,21.2,74,0,16.11
141,Saint-Philippe,RE,-21.35,55.7667,74.82,80.6,68.0,83,90,12.59
142,Touros,BR,-5.2,-35.4667,77.0,77.0,77.0,83,20,3.44
143,Oulu,FI,65.0167,25.4667,-11.2,-11.2,-11.2,77,0,3.44
144,Nyurba,RU,63.2842,118.3319,-14.8,-14.8,-14.8,87,100,8.63
145,Port Elizabeth,ZA,-33.918,25.5701,69.8,69.8,69.8,88,90,11.5
146,Saskylakh,RU,71.9167,114.0833,-46.1,-46.1,-46.1,75,70,9.33
147,Margate,ZA,-30.8636,30.3705,74.66,74.66,74.66,83,97,4.12
148,Bengkulu,ID,-3.8,102.2667,83.19,83.19,83.19,63,100,2.71
149,Aflou,DZ,34.1089,2.1019,32.49,32.49,32.49,90,0,5.61
150,Sur,OM,22.5667,59.5289,63.12,63.12,63.12,57,0,2.44
151,Peniche,PT,39.3575,-9.3804,46.72,48.0,44.01,72,5,11.01
152,Koslan,RU,63.4564,48.8989,-15.0,-15.0,-15.0,85,60,3.0
153,Inuvik,CA,68.35,-133.7,-14.8,-14.8,-14.8,76,81,3.27
154,Hashtrūd,IR,37.4779,47.0508,32.59,32.59,32.59,89,100,2.37
155,Grande Rivière Sud Est,MU,-20.2861,57.7758,78.01,79.0,77.0,88,75,6.91
156,Hambantota,LK,6.1167,81.1167,77.0,77.0,77.0,100,75,5.75
157,Klaksvík,FO,62.2333,-6.6,39.2,39.2,39.2,81,40,24.16
158,Pelabuhanratu,ID,-6.9875,106.5514,80.01,80.01,80.01,78,85,4.0
